timestamp,asset,price,position,peakPrice,trailLevel,equity,unrealizedPnL,realizedPnL,event,tradeReturn,cumFees
2026-04-07T00:00:00.000Z,ETH,2112.6600,LONG,2164.6500,1839.9525,10302.79,302.79,0.00,HOLD,,0.00
2026-04-07T01:00:00.000Z,BTC,68400.0100,LONG,69968.8700,59473.5395,10218.11,218.11,0.00,HOLD,,0.00
2026-04-07T01:00:00.000Z,ETH,2099.5100,LONG,2164.6500,1839.9525,10238.67,238.67,0.00,HOLD,,0.00
2026-04-07T02:00:00.000Z,BTC,68674.0000,LONG,69968.8700,59473.5395,10259.04,259.04,0.00,HOLD,,0.00
2026-04-07T02:00:00.000Z,ETH,2106.8400,LONG,2164.6500,1839.9525,10274.41,274.41,0.00,HOLD,,0.00
2026-04-07T03:00:00.000Z,BTC,68779.2100,LONG,69968.8700,59473.5395,10274.76,274.76,0.00,HOLD,,0.00
2026-04-07T03:00:00.000Z,ETH,2108.3700,LONG,2164.6500,1839.9525,10281.87,281.87,0.00,HOLD,,0.00
2026-04-07T04:00:00.000Z,BTC,68854.6500,LONG,69968.8700,59473.5395,10286.02,286.02,0.00,HOLD,,0.00
2026-04-07T04:00:00.000Z,ETH,2114.2200,LONG,2164.6500,1839.9525,10310.40,310.40,0.00,HOLD,,0.00
2026-04-07T05:00:00.000Z,BTC,68669.0000,LONG,69968.8700,59473.5395,10258.29,258.29,0.00,HOLD,,0.00
2026-04-07T05:00:00.000Z,ETH,2105.5200,LONG,2164.6500,1839.9525,10267.97,267.97,0.00,HOLD,,0.00
2026-04-07T06:00:00.000Z,BTC,68568.3500,LONG,69968.8700,59473.5395,10243.26,243.26,0.00,HOLD,,0.00
2026-04-07T06:00:00.000Z,ETH,2104.2500,LONG,2164.6500,1839.9525,10261.78,261.78,0.00,HOLD,,0.00
2026-04-07T07:00:00.000Z,BTC,68624.6100,LONG,69968.8700,59473.5395,10251.66,251.66,0.00,HOLD,,0.00
2026-04-07T07:00:00.000Z,ETH,2104.0400,LONG,2164.6500,1839.9525,10260.76,260.76,0.00,HOLD,,0.00
2026-04-07T08:00:00.000Z,BTC,68936.7100,LONG,69968.8700,59473.5395,10298.28,298.28,0.00,HOLD,,0.00
